Date,Close,Open,High,Low,Volume,Up/Down
2020-12-31,48.52,48.35,48.58,47.77,181.89K,0.25%
2020-12-30,48.4,48.13,48.66,47.61,266.96K,0.83%
2020-12-29,48.0,47.72,48.35,47.68,213.78K,0.80%
2020-12-28,47.62,48.23,48.96,47.5,238.46K,-1.26%
2020-12-24,48.23,48.09,48.62,47.56,167.39K,0.23%
2020-12-23,48.12,46.79,48.5,46.16,344.31K,2.34%
2020-12-22,47.02,47.93,47.96,46.6,295.74K,-1.51%
2020-12-21,47.74,48.54,48.61,46.18,27.96K,-2.77%
2020-12-18,49.1,48.43,49.28,48.1,83.71K,1.53%
2020-12-17,48.36,47.85,48.59,47.81,96.54K,1.13%
2020-12-16,47.82,47.6,47.94,47.17,275.33K,0.42%
2020-12-15,47.62,46.99,47.73,46.54,311.17K,1.34%
2020-12-14,46.99,46.73,47.44,45.69,403.54K,0.90%
2020-12-11,46.57,46.97,47.29,46.34,367.31K,-0.45%
2020-12-10,46.78,45.69,47.74,45.52,447.53K,2.77%
2020-12-09,45.52,45.6,46.24,44.95,434.98K,-0.18%
2020-12-08,45.6,45.66,45.93,45.14,332.64K,-0.35%
2020-12-07,45.76,46.15,46.54,45.36,348.87K,-1.08%
2020-12-04,46.26,45.64,46.68,45.61,335.45K,1.36%
2020-12-03,45.64,44.99,45.84,44.66,350.77K,0.80%
2020-12-02,45.28,44.38,45.92,43.92,368.85K,1.64%
2020-12-01,44.55,45.08,45.7,44.12,314.92K,-1.74%
2020-11-30,45.34,45.34,45.8,44.42,370.76K,-0.42%
2020-11-27,45.53,45.9,46.09,44.55,365.13K,1.22%
2020-11-26,44.98,45.77,46.09,44.73,-,-1.60%
2020-11-25,45.71,44.82,46.26,44.73,417.18K,1.78%
2020-11-24,44.91,42.84,45.2,42.82,418.53K,4.30%
2020-11-23,43.06,42.46,43.36,42.29,300.72K,2.16%
2020-11-20,42.15,41.7,42.32,41.51,29.78K,0.98%
2020-11-19,41.74,41.61,41.98,41.08,88.14K,-0.19%
2020-11-18,41.82,41.35,42.46,41.08,107.01K,0.94%
2020-11-17,41.43,41.44,41.69,40.57,243.68K,0.22%
2020-11-16,41.34,40.17,42.09,40.15,378.79K,3.02%
2020-11-13,40.13,40.94,40.94,40.06,338.19K,-2.41%
2020-11-12,41.12,41.47,42.19,40.87,401.03K,-0.80%
2020-11-11,41.45,41.79,43.06,41.32,443.77K,0.22%
2020-11-10,41.36,39.91,41.84,39.41,457.05K,2.66%
2020-11-09,40.29,37.34,41.33,37.16,622.92K,8.48%
2020-11-06,37.14,38.54,38.61,37.06,411.03K,-4.25%
2020-11-05,38.79,39.17,39.35,38.27,298.37K,-0.92%
2020-11-04,39.15,38.15,39.25,37.26,437.00K,3.96%
2020-11-03,37.66,37.03,38.32,36.57,410.61K,2.31%
2020-11-02,36.81,35.24,37.15,33.64,489.20K,2.85%
2020-10-30,35.79,36.07,36.6,35.21,388.97K,-1.05%
